#Processing Run 48114 for polarization tables
#The run table thinks this was a DSWAPL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48112.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using	x	 0.0	0
6752277	6766686	1874.8	1
6766686	6777143	-1.0	1
6777143	6787938	-1.0	1
6787938	6799229	-1.0	1
6799229	6808851	-1.0	1
6808851	6824214	-1.0	1
6824214	6833750	-1.0	1
6833750	6839170	-1.0	1
6839170	6854514	-1.0	1
6854514	6859844	-1.0	1
6859844	6880072	-1.0	1
6880072	6885883	-1.0	1
6885883	6896841	-1.0	1
6896841	6905420	-1.0	1
6905420	6916414	-1.0	1
6916414	x	-1.0	1
6924640	6931829	1865.2	1
6931829	6946286	-1.0	1
6946286	6957475	-1.0	1
6957475	6970919	-1.0	1
6970919	6983818	-1.0	1
6983818	6989513	-1.0	1
6989513	7000272	-1.0	1
7000272	7012420	-1.0	1
7012420	7022119	-1.0	1
7022119	7036835	-1.0	1
7036835	7047020	-1.0	1
7047020	7057528	-1.0	1
7057528	7068549	-1.0	1
7068549	7079402	-1.0	1
7079402	7089776	-1.0	1
7089776	7100601	1901.3	1
7100601	99999999	1924.2	1
